#,公式应用,类型,商品,建仓时间,建仓价格,平仓时间,平仓价格,数量,最佳平仓价,最佳平仓时间,最差平仓价,最差平仓时间,浮动盈利,浮动亏损,建仓效率,平仓效率,总效率
76,Ama_CL,多头,880829,2017/4/5 15:00,1400,2017/4/17 10:30,1399,1,1420,2017/4/11 15:00,1399,2017/4/6 11:30,1505.86,-592.77,91.20%,-24.38%,-33.18%
77,Ama_CL,多头,880925,2017/4/7 11:30,1248,2017/4/17 11:30,1268,1,1356,2017/4/12 14:00,1245,2017/4/7 15:00,10393.34,-705.86,97.13%,17.80%,14.93%
78,Ama_CL,多头,880853,2017/3/21 15:00,700,2017/4/17 11:30,705,1,721,2017/4/10 11:30,691,2017/3/30 15:00,1860.66,-1074.64,68.56%,41.58%,10.14%
79,Ama_CL,多头,880919,2017/4/7 11:30,1651,2017/4/17 11:30,1706,1,1816,2017/4/13 15:00,1637,2017/4/11 11:30,15991.21,-1902.12,92.07%,36.51%,28.57%
80,Ama_CL,多头,880826,2017/4/6 11:30,1299,2017/4/17 14:00,1286,1,1312,2017/4/10 10:30,1286,2017/4/17 11:30,879.24,-1728.58,40.03%,-18.05%,-78.02%
81,Ama_CL,多头,880431,2017/3/30 14:00,932,2017/4/17 15:00,999,1,1068,2017/4/12 10:30,923,2017/3/30 15:00,13286,-1223.76,93.47%,51.49%,44.96%
82,Ama_CL,多头,880922,2017/4/6 14:00,1327,2017/4/17 15:00,1416,1,1546,2017/4/12 15:00,1327,2017/4/6 14:00,21418.36,-424.64,100.00%,39.50%,39.50%
83,Ama_CL,多头,880943,2017/4/6 15:00,1046,2017/4/18 11:30,1075,1,1168,2017/4/12 10:30,1045,2017/4/6 15:00,11865.73,-462.52,98.93%,22.42%,21.35%
84,Ama_CL,多头,880344,2017/4/11 10:30,1231,2017/4/18 11:30,1225,1,1259,2017/4/12 10:30,1205,2017/4/17 15:00,2427.56,-2956.81,48.56%,31.57%,-19.86%
85,Ama_CL,多头,880578,2017/4/6 14:00,2348,2017/4/18 11:30,2393,1,2458,2017/4/11 10:30,2343,2017/4/7 10:30,10204.08,-1201.64,95.76%,39.35%,35.11%
86,Ama_CL,多头,880911,2017/4/5 15:00,1775,2017/4/18 14:00,2173,1,2366,2017/4/12 14:00,1775,2017/4/5 15:00,58420.48,-571,99.99%,67.05%,67.04%
87,Ama_CL,多头,880581,2017/4/11 10:30,2470,2017/4/18 14:00,2444,1,2518,2017/4/14 10:30,2423,2017/4/11 14:00,4037.87,-5505.84,46.05%,15.33%,-38.62%
88,Ama_CL,多头,880591,2017/4/10 10:30,2066,2017/4/18 14:00,2055,1,2108,2017/4/13 14:00,2038,2017/4/11 14:00,3484.24,-3467.62,55.31%,16.76%,-27.93%
89,Ama_CL,多头,880305,2017/4/7 10:30,1440,2017/4/18 15:00,1439,1,1493,2017/4/14 10:30,1432,2017/4/17 15:00,4854.68,-1272.5,85.64%,4.47%,-9.89%
90,Ama_CL,多头,880301,2017/3/20 15:00,573,2017/4/18 15:00,580,1,598,2017/3/21 10:30,571,2017/3/28 11:30,2288.68,-389.03,91.73%,28.93%,20.66%
91,Ama_CL,多头,880847,2017/3/22 11:30,1558,2017/4/19 11:30,1567,1,1600,2017/4/7 14:00,1547,2017/3/30 15:00,3722.68,-1550.87,77.91%,30.46%,8.37%
92,Ama_CL,多头,880945,2017/3/9 15:00,1105,2017/4/19 14:00,1172,1,1279,2017/4/12 10:30,1102,2017/3/13 10:30,17004.58,-702.04,97.99%,38.52%,36.51%
