Bar#,时间,多头保证金,空头保证金,可用资金,动态权益,交易成本,静态权益,累计收益率
1200,2018/5/16 10:00,8047247.97,0,1515261108,1523308355,272.32,1523045108,2049.4
1199,2018/5/15 15:00,8211420.98,0,1515091457,1523302878,1223.52,1523048857,2048.61
1198,2018/5/15 14:00,8926941.97,0,1514329210,1523256152,312.48,1523055110,2018.34
1197,2018/5/15 11:00,9095022,0,1514134540,1523229562,664.8,1523058540,2003.42
1196,2018/5/15 10:00,9530053.98,0,1513720364,1523250418,0,1523056264,2017.16
1195,2018/5/14 15:00,9502770.01,0,1513720364,1523223134,318.56,1523056264,2001.84
1194,2018/5/14 14:00,9508584.98,0,1513709590,1523218175,1152.8,1523050590,1999.7
1193,2018/5/14 11:00,9532751.05,0,1513704039,1523236790,1444.32,1523042539,2011.62
1192,2018/5/14 10:00,9972321,0,1513256902,1523229223,447.2,1523044302,2006.13
1191,2018/5/11 15:00,9998920,0,1513200138,1523199058,637.76,1523043338,1990.32
1190,2018/5/11 14:00,10337870.02,0,1512909032,1523246902,164.32,1523037332,2017.49
1189,2018/5/11 11:00,10437341.97,0,1512806659,1523244001,371.36,1523036459,2014.61
1188,2018/5/11 10:00,10252567.98,0,1513038759,1523291327,461.6,1523036459,2039.15
1187,2018/5/10 15:00,10547437.05,0,1512751181,1523298618,804.8,1523036781,2044.31
1186,2018/5/10 14:00,10595501.98,0,1512645352,1523240854,608,1523034452,2010.95
1185,2018/5/10 11:00,10673816.07,0,1512575276,1523249092,575.68,1523036976,2018.32
1184,2018/5/10 10:00,10663424,0,1512595022,1523258446,1778.88,1523038222,2023.84
1183,2018/5/9 15:00,9953878.05,0,1513265524,1523219402,960.32,1523035524,1999.55
1182,2018/5/9 14:00,9334641.96,0,1513865724,1523200365,1471.84,1523035524,1989.88
1181,2018/5/9 11:00,8434619.06,0,1514785624,1523220243,2101.44,1523035524,2001.51
1180,2018/5/9 10:00,7101231,0,1516099024,1523200255,1714.72,1523035524,1990.21
1179,2018/5/8 15:00,6037368,0,1517170724,1523208092,950.24,1523035524,1993.53
1178,2018/5/8 14:00,5437185.01,0,1517764624,1523201809,1153.12,1523035524,1988.8
1177,2018/5/8 11:00,4723450.02,0,1518485324,1523208774,684.8,1523035524,1992.97
1176,2018/5/8 10:00,4280227.01,0,1518913324,1523193551,539.52,1523035524,1981.86
1175,2018/5/7 15:00,3942468.01,0,1519250524,1523192992,568,1523035524,1981.19
1174,2018/5/7 14:00,3568816.01,0,1519605524,1523174340,330.24,1523035524,1969.95
1173,2018/5/7 11:00,3369547.04,0,1519811924,1523181471,984.64,1523035524,1974.19
1172,2018/5/7 10:00,2740672.02,0,1520427324,1523167996,980.16,1523035524,1966.52
1171,2018/5/4 15:00,2089665.99,0,1521039924,1523129590,0,1523035524,1944.05
1170,2018/5/4 14:00,2096741.98,0,1521039924,1523136666,274.08,1523035524,1948.39
1169,2018/5/4 11:00,1916798.01,0,1521211224,1523128022,0,1523035524,1943.4
1168,2018/5/4 10:00,1914590.99,0,1521211224,1523125815,300.64,1523035524,1942
1167,2018/5/3 15:00,1709107.98,0,1521399124,1523108232,0,1523035524,1931.72
1166,2018/5/3 14:00,1706924.01,0,1521399124,1523106048,0,1523035524,1930.03
1165,2018/5/3 11:00,1696732,0,1521399124,1523095856,589.76,1523035524,1923.3
1164,2018/5/3 10:00,1311187.01,0,1521767724,1523078911,351.52,1523035524,1913.62
1163,2018/5/2 15:00,1553844,0,1521548738,1523102582,0,1523043338,1926.78
1162,2018/5/2 14:00,1550323.02,0,1521548738,1523099061,212.48,1523043338,1924.49
1161,2018/5/2 11:00,1421263.99,0,1521681538,1523102802,0,1523043338,1926.77
1160,2018/5/2 10:00,1426822.01,0,1521681538,1523108360,0,1523043338,1929.84
1159,2018/4/27 15:00,1411541.01,0,1521681538,1523093079,372.8,1523043338,1921.41
1158,2018/4/27 14:00,1175623.01,0,1521914538,1523090161,0,1523043338,1919.83
1157,2018/4/27 11:00,1175383.01,0,1521914538,1523089921,129.28,1523043338,1920.12
1156,2018/4/27 10:00,1263923.02,0,1521833998,1523097921,0,1523044798,1924.72
1155,2018/4/26 15:00,1244557.01,0,1521833998,1523078555,259.84,1523044798,1912.89
1154,2018/4/26 14:00,1092048.99,0,1521996398,1523088447,0,1523044798,1919.13
1153,2018/4/26 11:00,1090967.01,0,1521996398,1523087365,0,1523044798,1918.4
1152,2018/4/26 10:00,1096036,0,1521996398,1523092434,397.76,1523044798,1921.42
1151,2018/4/25 15:00,850335,0,1522244998,1523095333,352.96,1523044798,1923.54
1150,2018/4/25 14:00,625346.99,0,1522465598,1523090945,234.72,1523044798,1921.5
1149,2018/4/25 11:00,772498.02,0,1522319363,1523091861,737.76,1523042063,1922.32
1148,2018/4/25 10:00,1231530.99,0,1521859703,1523091234,0,1523021603,1922.04
1147,2018/4/24 15:00,1219338.99,0,1521859703,1523079042,0,1523021603,1916.97
1146,2018/4/24 14:00,1213320.01,0,1521859703,1523073023,0,1523021603,1914.02
1145,2018/4/24 11:00,1206607.02,0,1521859703,1523066310,0,1523021603,1910.67
1144,2018/4/24 10:00,1194530.01,0,1521859703,1523054233,0,1523021603,1904.41
1143,2018/4/23 15:00,1185843.99,0,1521859703,1523045547,0,1523021603,1899.53
1142,2018/4/23 14:00,1176752.02,0,1521859703,1523036455,0,1523021603,1895.04
1141,2018/4/23 11:00,1192915,0,1521859703,1523052618,172.64,1523021603,1903.11
1140,2018/4/23 10:00,1313585.02,0,1521752150,1523065735,0,1523022750,1910.2
1139,2018/4/20 15:00,1327920.01,0,1521752150,1523080070,0,1523022750,1917.64
1138,2018/4/20 14:00,1345055.98,0,1521752150,1523097206,0,1523022750,1926.91
1137,2018/4/20 11:00,1332826.01,0,1521752150,1523084976,398.08,1523022750,1919.95
1136,2018/4/20 10:00,1404355.01,0,1521701198,1523105553,0,1523003098,1931.09
1135,2018/4/19 15:00,1393409.02,0,1521701198,1523094607,275.04,1523003098,1924.64
1134,2018/4/19 14:00,1582738.98,0,1521529839,1523112578,0,1522998039,1935.26
1133,2018/4/19 11:00,1586810.01,0,1521529839,1523116649,173.92,1522998039,1937.74
1132,2018/4/19 10:00,1464905.01,0,1521638539,1523103444,911.52,1522998039,1930.49
1131,2018/4/18 15:00,2030358.99,0,1521070639,1523100998,0,1522985539,1928.24
1130,2018/4/18 14:00,2018400.04,0,1521070639,1523089039,0,1522985539,1923.4
1129,2018/4/18 11:00,1973844.98,0,1521070639,1523044484,0,1522985539,1904.49
1128,2018/4/18 10:00,1965906.99,0,1521070639,1523036546,83.04,1522985539,1900.88
1127,2018/4/17 15:00,2028374.99,0,1521018906,1523047281,0,1522986206,1903.26
1126,2018/4/17 14:00,2037820,0,1521018906,1523056726,362.56,1522986206,1906.75
1125,2018/4/17 11:00,2292738,0,1520793042,1523085780,368.48,1522993542,1919.83
1124,2018/4/17 10:00,2539644.98,0,1520563471,1523103116,254.56,1522989171,1928.38
1123,2018/4/16 15:00,2711871,0,1520404878,1523116749,0,1522988878,1934.27
1122,2018/4/16 14:00,2682499,0,1520404878,1523087377,0,1522988878,1920.66
1121,2018/4/16 11:00,2694206,0,1520404878,1523099084,836.16,1522988878,1925.84
1120,2018/4/16 10:00,3232704.99,0,1519883907,1523116612,665.92,1522963007,1933.73
1119,2018/4/13 15:00,3624643.99,0,1519469043,1523093687,0,1522967343,1923.3
1118,2018/4/13 14:00,3637603.01,0,1519469043,1523106646,0,1522967343,1929.12
1117,2018/4/13 11:00,3631153.95,0,1519469043,1523100197,0,1522967343,1926.2
1116,2018/4/13 10:00,3644507.05,0,1519469043,1523113550,0,1522967343,1932.48
1115,2018/4/12 15:00,3632936.94,0,1519469043,1523101980,0,1522967343,1926.68
1114,2018/4/12 14:00,3641802,0,1519469043,1523110845,0,1522967343,1931.48
1113,2018/4/12 11:00,3650040,0,1519469043,1523119083,0,1522967343,1934.66
1112,2018/4/12 10:00,3659630.02,0,1519469043,1523128673,176.16,1522967343,1939.39
1111,2018/4/11 15:00,3532706.02,0,1519579143,1523111849,122.56,1522967343,1933.03
1110,2018/4/11 14:00,3461764.02,0,1519655743,1523117507,202.24,1522967343,1933.34
1109,2018/4/11 11:00,3586150.03,0,1519529747,1523115897,229.6,1522967447,1934.57
1108,2018/4/11 10:00,3732281.99,0,1519386703,1523118985,475.84,1522965603,1936.43
1107,2018/4/10 15:00,4002812.04,0,1519090255,1523093067,0,1522966555,1924.73
1106,2018/4/10 14:00,3969996.94,0,1519090255,1523060252,0,1522966555,1909.3
